name,dob,hand,specialism,team
Shane Watson,17/06/1981,Right,1,2
Chris Rogers,31/08/1977,Left,1,2
Usman Khawaja,18/12/1986,Left,1,2
Philip Hughes,30/11/1988,Left,1,2
Michael Clarke,02/04/1981,Right,1,2
Steven Smith,02/06/1989,Right,3,2
Brad Haddin,23/10/1977,Right,4,2
Ashton Agar,14/10/1993,Right,2,2
Peter Siddle,25/11/1984,Right,2,2
James Pattinson,03/05/1990,Right,2,2
Ryan Harris,11/10/1979,Right,2,2
Alastair Cook,25/12/1984,Left,1,1
Joe Root,30/12/1990,Right,1,1
Johnathon Trott,22/04/1981,Right,1,1
Kevin Pietersen,27/06/1980,1,1
Ian Bell,11/04/1982,Right,1,1
Jonny Bairstow,26/09/1989,Right,1,1
Matt Prior,26/02/1982,Right,4,1
Stuart Broad,24/06/1986,Right,3,1
Graham Swann,24/03/1979,Right,2,1
James Anderson,30/07/1982,Right,2,1
Steve Finn,04/04/1989,Right,2,1
Graeme Smith,01/02/1981,Left,1,3
Alviro Petersen,25/11/1980,Right,1,3
Hashim Amla,31/03/1983,Right,1,3
Jacques Kallis,16/10/1975,Right,3,3
AB de Villiers,17/02/1984,Right,4,3
Jacques Rudolph,04/05/1981,Left,1,3
Vernon Philander,24/05/1985,Right,3,3
Dale Steyn,27/04/1983,Right,2,3
Rory Kleinveldt,15/03/1983,Right,2,3
Morne Morkel,06/10/1984,Right,2,3
Jean-Paul Duminy,14/04/1984,Right,2,3
